"year","NA","High income","Low income","Lower middle income","Upper middle income"
2013,29.32,73.4350465753425,5.70714,18.3004081632653,38.142541509434
2014,31.8,75.7185438356164,6.70992913043478,21.349358,42.8955603773585
2015,34.61872,77.6084273972603,7.90711043478261,24.6651304,47.2025711538462
2016,37.9704828571429,80.1593666666667,10.2402308333333,28.4620622,51.3160692307692
2017,40.7,81.6225246753247,12.0135143478261,32.6804214,55.9208528301887
2018,43.0764705882353,83.7618803278689,14.0408045,38.28114,61.4559387755102
2019,46.7441176470588,85.5324666666667,16.3168861904762,41.4644854166667,65.21316
2020,51.5432235294118,87.9315092307692,17.4100481818182,46.6472212765957,70.5676196078431
2021,54.8087676470588,89.9236492307692,20.2214444444444,52.0697222222222,75.0151653846154
2022,58.8909090909091,90.9727015384615,22.8300789473684,54.1347673913044,77.0286192307692
2023,60.9181818181818,91.6304609375,24.1676666666667,56.7070382978723,79.2040288461538
